R_amplitude,QRS_duration,Dominant_frequency,FFT_energy,Wavelet_energy_approx,Wavelet_energy_detail1,Wavelet_energy_detail2,Wavelet_energy_detail3,Class
1.2325610474841744,0.00391591238239494,1.6666666666666667,977.5949933433642,5.987185910036425,2.861163013802364,0.1815277814812695,0.083763693672736,+
1.2281915357746875,0.004045266988900614,6.666666666666667,823.6076855756273,4.28046606980383,2.518105285877142,0.8034514211308639,0.11905347392719427,N
1.1358980204278735,0.0038841350130089376,6.666666666666667,731.4921818798484,3.7362876179625335,2.366131340765867,0.6312801060585441,0.09762701250074156,N
1.087513348578846,0.003625022306139974,1.6666666666666667,653.9338134172967,3.2923376947913097,2.531984249493464,0.2974530014753209,0.1711992511375923,N
1.1471317501924827,0.0037030956783943012,1.6666666666666667,746.07794571272,4.2466688400018,2.6864856501729557,0.2290105151261623,0.19515249044865884,N
1.2044655979466374,0.0039103273142581186,5.0,838.4077480308104,4.572084102550402,2.8512681173587695,0.40511139405763547,0.13215119371515807,N
1.151772113745572,0.0037999003755761003,13.333333333333334,745.5331874362562,3.868543759262697,2.5513026464040505,0.44809972832317946,0.0732929360378723,N
1.1896577317931207,0.003848159263573318,5.0,898.8216226929148,3.188404631214666,3.010185908152419,2.1616269020708256,0.08156999778552806,N
1.2135918537838506,0.003965912639518364,11.666666666666666,784.7657892460584,3.3136094780181664,1.209508345849304,2.525556636965594,0.24313652723734522,A
1.211171993161042,0.003938442805569261,6.666666666666667,758.0435550064409,3.8624160404365058,2.280112540412157,0.7882493330595819,0.15115419691674975,N
1.0865476151173064,0.0036340259703488784,6.666666666666667,644.42151941798,2.195861923378927,1.6096069774153183,2.0171838313761183,0.13212360840493675,N
1.073098796833306,0.0035167973601046548,1.6666666666666667,672.0950684176661,3.6051443710100837,2.0540194307334936,0.5717724225722517,0.09018520754141945,N
1.1709327943027439,0.003875057825743925,5.0,808.457918732381,4.691194764025466,2.493524974509122,0.5661970814869932,0.07351319548524685,N
1.142417444296008,0.00385309328562666,11.666666666666666,766.6786153130648,4.60829348651043,2.4131809269292295,0.3143204329887363,0.11766187932125537,N
1.0840548197658155,0.0035843060078942775,1.6666666666666667,672.4588061270961,3.772705694861826,2.0602777163761266,0.5718695336892018,0.07830127890678966,N
1.155380846443576,0.0036588250637674155,1.6666666666666667,784.6575898898204,4.732602956228545,2.246425255335021,0.6116746824806792,0.03576857889634814,N
1.1718117177440965,0.0037596928020074733,6.666666666666667,780.1098817536686,4.215103495768305,2.5215330911931613,0.5028148595968555,0.09999853934486637,N
1.0930054828650357,0.0037038476761835624,6.666666666666667,635.3967596772264,3.2864884223303332,2.2156263124465507,0.37871891838486277,0.1827009952911284,N
1.2369750298971809,0.004102574119226975,6.666666666666667,1087.2822106026638,7.195836382763019,2.478983511599145,0.39023600912154854,0.031732158435241326,N
1.183879566487591,0.003967885232861498,15.0,769.0451045145609,3.835908267422785,2.7930284882340586,0.4704717213357752,0.16934005104683214,N
1.2557820567422957,0.004051367366088881,5.0,916.3744016815673,5.505565001773452,2.978646656954978,0.4389213239207008,0.11361005326721356,N
1.1181671933233683,0.003828314759345234,15.0,773.7354000188917,4.281457285255466,2.4588907551050627,0.6639362326000701,0.0395638908998295,N
1.1358564685699446,0.003805113927780766,6.666666666666667,774.7080803408827,4.509365248971698,2.553359597498108,0.4172288206486685,0.09576551186489968,N
1.2270893354032315,0.0040632568851295195,6.666666666666667,802.5636987095648,4.293883506957231,2.4051175679595334,0.8098372219610345,0.09804599676411008,N
