R_amplitude,QRS_duration,RR_interval,HRV,Dominant_frequency,FFT_energy,Wavelet_energy_approx,Wavelet_energy_detail1,Wavelet_energy_detail2,Wavelet_energy_detail3,Wavelet_entropy,Class,Predicted_Class
1.2325610474841744,0.00391591238239494,,13.573685211962916,6.0,1358.337080798647,3.8772528740057064,3.1398930488131174,1.9442002679595822,0.08371285749134275,-1.6875369442681603,+,
1.2281915357746875,0.004045266988900614,292.0,13.573685211962916,6.0,1144.2540077701287,2.7941333747054,2.2832921440736196,2.433800307989217,0.11900931926055712,-1.1318099768475942,N,
1.1358980204278735,0.0038841350130089376,284.0,13.573685211962916,6.0,1016.6260151169074,2.3409599242878847,2.1433403074566018,2.21932380385935,0.09757576862131072,-0.7920560943766572,N,
1.087513348578846,0.003625022306139974,285.0,13.573685211962916,6.0,909.2026551414089,1.8544756333301464,1.794269028276178,2.231657788284267,0.17117198167917191,-0.04782935186131241,N,
1.1471317501924827,0.0037030956783943012,284.0,13.573685211962916,6.0,1037.72546827267,2.341654109441707,1.9168312778278307,2.455951351499164,0.19495194536514995,0.2859701318110612,N,
1.2044655979466374,0.0039103273142581186,294.0,13.573685211962916,6.0,1184.951878670474,2.936143418471965,2.3268720823955413,2.522144693253613,0.13207517296612303,-0.6691279163079503,N,
1.151772113745572,0.0037999003755761003,283.0,13.573685211962916,14.4,1042.969393036576,2.3707316156832188,2.2128675100218276,2.367692002349866,0.07329461780801605,-0.5041205945672753,N,
1.1896577317931207,0.003848159263573318,283.0,13.573685211962916,4.8,1255.200697876719,2.934017036416087,5.269118237596182,0.07774715258029352,0.0814530498647236,-7.0439549001304265,N,
1.2135918537838506,0.003965912639518364,311.0,13.573685211962916,6.0,1092.9100871720248,3.9293080194154135,2.937221526445837,0.1755780219394615,0.24314060430158096,-0.4258700180774329,A,
1.211171993161042,0.003938442805569261,311.0,13.573685211962916,6.0,1053.3217441733134,2.5047622627506057,1.987535907191683,2.3576593701981032,0.15110748985074896,-0.7671431572638742,N,
